Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN348","10","955",".23851870988519178","4.8424938991030366","4.4172035812081756","","",".33465126371852161",".42529031789486105","1.3094594411018485","1.7869183155058799",".8164011651863825",".00000000000000000000000000000000000000000000000000000000000000063491555085266534",".0033307097741619137","61.02666517173958","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN349","25","940",".40986875569494968","5.1321936911845647","4.4027122518778983","","",".001164770216764646",".72948143930666642",".96771381735016571","1.7957420485470064",".55402955697903267",".00000000000000000000000000000000000000000000000000000000000000060630587058461612",".0033257460673896677","55.361497857383668","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN350","13","952",".47378784955554043","5.254016977156339","4.4102438427960138","","",".051071514442208886",".84377313436032519","1.3951046794157869","1.7852447989986828",".13899105960769204",".00000000000000000000000000000000000000000000000000000000000000045528868933260269",".0032950666787309756","29.193426585318971","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN351","13","952",".72502712095672861","5.6928842074703949","4.4042509079282803","","",".000042160221138268073","1.2886332995421146",".76302294667008996","1.7864822877971904",".13183414290687728",".00000000000000000000000000000000000000000000000000000000000000044952841715866738",".0032937093293545858","28.385341774208033","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN352","17","948",".48244109857545203","5.2652184801460651","4.406482747766197","","",".024225869339514653",".85873573237986811","1.4107735030444635","1.7855626951122281",".11313838232201681",".00000000000000000000000000000000000000000000000000000000000000043308293724029279",".0032897393017663561","26.516808356722699","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN353","13","952",".27466161596921274","4.9046467536341174","4.4150146546718441","","",".38947286301453266",".48963209896227333","1.967837234931922","1.7802144340360915",".60719458354472944",".00000000000000000000000000000000000000000000000000000000000000061446388555098043",".0033271842093893834","55.369826062710125","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN354","6","959",".065706117095018043","4.3051495364975167","4.422339376252193","","",".87524646104564918","-.11718983975467623","1.7328774973175216","1.7838060228809327",".304369630329137",".00000000000000000000000000000000000000000000000000000000000000054329130180423378",".0033139606436836931","43.20704531486173","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN355","15","950",".47857053286119716","5.2604348841848321","4.4083661429284895","","",".048921998155016133",".85206874125634258","1.5199434193973471","1.7840038036541017",".12160680083091725",".00000000000000000000000000000000000000000000000000000000000000044080290720850969",".0032916208100897681","27.499025313524012","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN356","181","784",".22753037030179069","4.7500145656985477","4.3457930135885219","","",".0042768856139588172",".40422155211002586","1.6788107282204585","1.7982811783518799",".87065962442578804",".00000000000000000000000000000000000000000000000000000000000000063762815469517549",".0033311690985233489","63.100447624557155","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN357","26","939",".31177803403031817","4.9620164389904335","4.4066474245272484","","",".12261829501449439",".5553690144631851","1.7506440452807051","1.7821058999197925",".50272917492588265",".00000000000000000000000000000000000000000000000000000000000000059703170666219953",".0033240882131975098","53.355690735058317","PANCANCER","GDSC2"
