Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"MIRA-1","1931","IST-SL2","753565","SCLC","lung","lung_small_cell_carcinoma","5.724249231178467",".98632961511319006","10",".042093147127111492",".40212081084774343","GDSC2"
"MIRA-1","1931","J82","753566","BLCA","urogenital_system","bladder","6.192298925592489",".98341475229414388","10",".059683752787257724",".78283368720855817","GDSC2"
"MIRA-1","1931","KNS-62","753569","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","6.0805515525823184",".98790849169156225","10",".053200326801814794",".69193807438750987","GDSC2"
"MIRA-1","1931","KOSC-2","753570","HNSC","aero_digestive_tract","head_and_neck","5.1827411289321272",".98707085148947249","10",".033326920549004602","-.038343331398930744","GDSC2"
"MIRA-1","1931","KP-4","753572","PAAD","pancreas","pancreas","5.3574689798295916",".99092427530477822","10",".026461950951284011",".10378077099750135","GDSC2"
"MIRA-1","1931","KYSE-140","753573","ESCA","aero_digestive_tract","oesophagus","5.1793029118337017",".98041784208256577","10",".052277059563769684","-.041139986405261404","GDSC2"
"MIRA-1","1931","KYSE-410","753574","ESCA","aero_digestive_tract","oesophagus","6.6945670345486992",".97298280980767105","10",".04479240513050279","1.1913799137036423","GDSC2"
"MIRA-1","1931","KYSE-520","753575","ESCA","aero_digestive_tract","oesophagus","7.9299127025558178",".98434981892200513","10",".029613858723884626","2.1962133922420111","GDSC2"
"MIRA-1","1931","KYSE-70","753576","ESCA","aero_digestive_tract","oesophagus","7.209376729067805",".98890065146406481","10",".044191064006926031","1.6101274995218062","GDSC2"
"MIRA-1","1931","LB1047-RCC","753577","KIRC","kidney","kidney","6.034866290569993",".97854216067723288","10",".035481861415829638",".6547775597763742","GDSC2"
"MIRA-1","1931","LB2241-RCC","753578","KIRC","kidney","kidney","5.2856517221695301",".97148127876284085","10",".030732901783436187",".045364421061970521","GDSC2"
"MIRA-1","1931","LB2518-MEL","753579","SKCM","skin","melanoma","3.9869302487450158",".955297791635632","10",".029416138650574648","-1.0110191075247104","GDSC2"
"MIRA-1","1931","LB373-MEL-D","753581","SKCM","skin","melanoma","5.200067310074667",".98424204300623763","10",".014058785135934485","-.024250169203016647","GDSC2"
"MIRA-1","1931","LB647-SCLC","753582","SCLC","lung","lung_small_cell_carcinoma","5.0204702890167034",".98558897513688792","10",".041943193656600056","-.17033486766310976","GDSC2"
"MIRA-1","1931","LB771-HNC","753583","HNSC","aero_digestive_tract","head_and_neck","6.6489841128796359",".98648763713692467","10",".035781358795741028","1.1543026430021086","GDSC2"
"MIRA-1","1931","LB831-BLC","753584","BLCA","urogenital_system","bladder","6.131913762568507",".98816521448206684","10",".028726203267060949",".73371623370149275","GDSC2"
"MIRA-1","1931","LB996-RCC","753585","KIRC","kidney","kidney","6.2345481331455757",".98141192872700733","10",".02723092117350373",".81719930590987622","GDSC2"
"MIRA-1","1931","LCLC-103H","753586","UNCLASSIFIED","lung","lung_NSCLC_large_cell","5.5358018708478136",".97459497232844849","10",".057748925192287276",".24883722269391129","GDSC2"
"MIRA-1","1931","LU-134-A","753588","SCLC","lung","lung_small_cell_carcinoma","3.020567291802132",".92428462212112661","10",".025469432999766155","-1.7970613276929575","GDSC2"
"MIRA-1","1931","LU-165","753589","SCLC","lung","lung_small_cell_carcinoma","7.3368415910688016",".98047098410403954","10",".037364932050805003","1.7138077600293751","GDSC2"
"MIRA-1","1931","LXF-289","753592","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1447629535150705",".98308818570317114","10",".048897431065556586","-.069234881109405441","GDSC2"
"MIRA-1","1931","MS-1","753594","SCLC","lung","lung_small_cell_carcinoma","5.0863768789357646",".99127809888745466","10",".01730387021171436","-.11672627071565975","GDSC2"
"MIRA-1","1931","MZ1-PC","753595","PAAD","pancreas","pancreas","6.7241173907398322",".97278697198215736","10",".050869895113421555","1.2154162526592687","GDSC2"
"MIRA-1","1931","MZ7-mel","753596","SKCM","skin","melanoma","4.894626437322203",".97718234304016882","10",".077258478746261197","-.27269659404115765","GDSC2"
"MIRA-1","1931","NCI-H1563","753600","LUAD","lung","lung_NSCLC_adenocarcinoma","6.1624305990723967",".9886047773947253","10",".024507309853331084",".75853871033482112","GDSC2"
"MIRA-1","1931","NCI-H292","753604","UNCLASSIFIED","lung","lung_NSCLC_adenocarcinoma","4.9860178956342418",".97152489818527399","10",".10046908201053253","-.19835853681339632","GDSC2"
"MIRA-1","1931","NCI-H510A","753605","SCLC","lung","lung_small_cell_carcinoma","4.7248850925207408",".98806647590289265","10",".046753182700115824","-.41076465900939213","GDSC2"
"MIRA-1","1931","NCI-H835","753607","UNCLASSIFIED","lung","lung_NSCLC_carcinoid","3.6872093039865734",".9577930778209075","10",".12448101504769603","-1.2548129275963702","GDSC2"
"MIRA-1","1931","PC-14","753608","LUAD","lung","lung_NSCLC_adenocarcinoma","6.4522572287808986",".98893258722513955","10",".043769980097940496",".99428446801644155","GDSC2"
"MIRA-1","1931","SBC-3","753610","SCLC","lung","lung_small_cell_carcinoma","5.0526037072218619",".97837047837728364","10",".053006595380457995","-.14419745913962639","GDSC2"
"MIRA-1","1931","SK-MM-2","753612","MM","blood","myeloma","6.0158189072920152",".98801444872745126","10",".077124346189660672",".63928436714864589","GDSC2"
"MIRA-1","1931","TE-15","753614","ESCA","aero_digestive_tract","oesophagus","4.9389247733872725",".96964787899645544","10",".074680678407719164","-.23666420871411495","GDSC2"
"MIRA-1","1931","U-266","753615","MM","blood","myeloma","4.3021019496249355",".95544261502859329","10",".086850220716601575","-.75465760099761647","GDSC2"
"MIRA-1","1931","BE2-M17","753616","NB","nervous_system","neuroblastoma","3.5812861924528172",".93871135445339826","10",".15967755135450956","-1.3409710705166225","GDSC2"
"MIRA-1","1931","KELLY","753618","NB","nervous_system","neuroblastoma","3.2597362907029295",".96036418747559993","10",".11400287235656285","-1.6025206227324389","GDSC2"
"MIRA-1","1931","SIMA","753620","NB","nervous_system","neuroblastoma","3.2150250742079227",".92857943666288412","10",".14283752298987917","-1.6388888461081983","GDSC2"
"MIRA-1","1931","TE-1","753621","ESCA","aero_digestive_tract","oesophagus","6.3926571741523315",".98267629835732628","10",".051763672327447718",".94580562378322186","GDSC2"
"MIRA-1","1931","TE-10","753622","ESCA","aero_digestive_tract","oesophagus","5.2670388574092861",".98647813249388283","10",".063727465668488664",".030224666961588351","GDSC2"
"MIRA-1","1931","TE-8","753623","ESCA","aero_digestive_tract","oesophagus","6.3375714713603282",".98236997330280074","10",".053100383843532432",".90099876543764301","GDSC2"
"MIRA-1","1931","CAPAN-1","753624","PAAD","pancreas","pancreas","6.3313709626143488",".98476202712591432","10",".032970593971086933",".89595525499899709","GDSC2"
"MIRA-1","1931","OVCAR-3","905933","OV","urogenital_system","ovary","5.6008138178787137",".98636103888630811","10",".054748620902518953",".30171811471743443","GDSC2"
"MIRA-1","1931","PC-3","905934","PRAD","urogenital_system","prostate","7.0223805148645271",".98360323906057434","10",".042387822673846789","1.458024277518762","GDSC2"
"MIRA-1","1931","DU-145","905935","PRAD","urogenital_system","prostate","6.4067293355892119",".98652240486800413","10",".04653863076587688",".95725195762594717","GDSC2"
"MIRA-1","1931","HCT-116","905936","COREAD","digestive_system","large_intestine","5.1637164421767903",".98519361001938766","10",".05315312588087253","-.053818062614289584","GDSC2"
"MIRA-1","1931","HCT-15","905937","COREAD","digestive_system","large_intestine","5.5818323360080386",".98571775257214511","10",".076990395291065508",".28627852647109958","GDSC2"
"MIRA-1","1931","HL-60","905938","LAML","blood","acute_myeloid_leukaemia","4.2469832015337765",".98039620579564146","10",".06770588293301269","-.79949133847812892","GDSC2"
"MIRA-1","1931","HT-29","905939","COREAD","digestive_system","large_intestine","6.3125486446393602",".98494452919023601","10",".061329056034401246",".88064513109216014","GDSC2"
"MIRA-1","1931","K-562","905940","LCML","blood","chronic_myeloid_leukaemia","5.5853097112438999",".99023674164211528","10",".028009992731888197",".28910703281141037","GDSC2"
"MIRA-1","1931","NCI-H226","905941","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","7.4095921586675635",".96883020446654844","10",".051485021705781397","1.7729832667714145","GDSC2"
"MIRA-1","1931","NCI-H23","905942","LUAD","lung","lung_NSCLC_adenocarcinoma","5.5647069720897013",".99091972684439866","10",".029957633939037113",".27234870954377849","GDSC2"
"MIRA-1","1931","NCI-H460","905943","UNCLASSIFIED","lung","lung_NSCLC_large_cell","4.8311338966284705",".97800286785862389","10",".066002699727815903","-.32434159687623021","GDSC2"
"MIRA-1","1931","NCI-H522","905944","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2065303263127927",".98180192015775336","10",".047994250282794616","-.018993134466429622","GDSC2"
"MIRA-1","1931","T47D","905945","BRCA","breast","breast","5.8463678905674543",".98631298945526313","10",".069360435384542438",".50145245581658404","GDSC2"
"MIRA-1","1931","MCF7","905946","BRCA","breast","breast","6.2892783611164331",".98097305595290551","10",".057970414341520407",".86171702008284379","GDSC2"
"MIRA-1","1931","786-0","905947","KIRC","kidney","kidney","5.606800233210266",".98261966939409584","10",".021115617782092005",".30658748099876293","GDSC2"
"MIRA-1","1931","A498","905948","KIRC","kidney","kidney","6.4028516221452447",".98209166723193542","10",".03828726428265803",".95409781511378511","GDSC2"
"MIRA-1","1931","A549","905949","LUAD","lung","lung_NSCLC_adenocarcinoma","6.5372449848471792",".98710719101385669","10",".060734896059760027","1.063413736668039","GDSC2"
"MIRA-1","1931","ACHN","905950","KIRC","kidney","kidney","4.4432346655820698",".93960219648882581","10",".076648000019738483","-.63985987143617884","GDSC2"
"MIRA-1","1931","BT-549","905951","BRCA","breast","breast","6.5765638378764182",".98132352404998491","10",".030714374333274612","1.0953957971428578","GDSC2"
"MIRA-1","1931","CCRF-CEM","905952","ALL","blood","lymphoblastic_leukemia","2.6037650005142217",".94962758229280531","10",".15713656487438435","-2.1360894289475936","GDSC2"
"MIRA-1","1931","SK-MEL-28","905954","SKCM","skin","melanoma","5.8920709739997124",".98115379647350798","10",".036218582356762646",".53862746641847536","GDSC2"
"MIRA-1","1931","SK-MEL-2","905955","SKCM","skin","melanoma","4.0314216607198752",".96821790565989907","10",".12505547348309037","-.97482967373497365","GDSC2"
"MIRA-1","1931","SK-MEL-5","905956","SKCM","skin","melanoma","5.448841814606193",".97806569815906408","10",".031176660221811026",".17810367979160494","GDSC2"
"MIRA-1","1931","Hs-578-T","905957","BRCA","breast","breast","5.3826361500535933",".97504287065699335","10",".062446832602846024",".12425181473536241","GDSC2"
