,Genetic Feature,feature_pval,ic50_effect_size,feature_delta_mean_ic50,msi_pval,fdr,log_ic50_mean_pos
292,cnaPANCAN24,0.00275218185906713,0.54111829332614,0.9497500382578563,0.00318398916804952,3.5757402775440075,5.250304550526376
293,cnaPANCAN25,0.00240224763286627,0.5027941666602546,0.8834865835128322,0.00317997028787068,3.275792226635828,5.182416279734717
294,cnaPANCAN26,0.00082642695472756,0.39521589280185726,0.6940109014664158,0.00314832447242627,1.4875685185096157,4.920723237992259
295,cnaPANCAN27,0.1668287410481922,0.447094684219708,0.7949526334047192,0.00329968793395589,32.640405857255004,5.191026029683778
296,cnaPANCAN28,0.00311801965675877,0.5151103899001015,0.913806039812135,0.00318767370210658,3.792186069030944,5.29659185474741
297,cnaPANCAN29,0.12972498025339335,0.6144232729343031,1.0898738995174382,0.00329329364030993,28.06550053558992,5.478731947143172
298,cnaPANCAN30,0.04930407468842865,0.29842016761521584,0.5302757753258591,0.00326730696278843,17.948017598737984,4.902980246870768
299,cnaPANCAN31,0.0791694483312524,0.27904591465719414,0.4964307041465848,0.00328025489000769,23.13392970718415,4.883059793434533
300,cnaPANCAN32,0.0345994944160073,0.3257831002029033,0.5790705507019478,0.00325741664339692,14.748053619304695,4.9604763871245465
301,cnaPANCAN33,0.09450923780589073,0.28041005297630955,0.4988800137178489,0.0032849944761412,24.08531688390045,4.886370457385683
302,cnaPANCAN34,0.09228027562660948,0.2891489092326491,0.5144231476004535,0.00328435953758535,23.94650733620705,4.902982861479842
303,cnaPANCAN35,0.1749229190447917,0.2420047709685952,0.43065080056563154,0.00330086906040013,33.249476760859,4.815667374035535
304,cnaPANCAN36,0.7925251201939808,0.00915741082775309,0.01633285249225124,0.00333045359292514,60.60572111902008,4.437368129238471
305,cnaPANCAN37,0.741958863320076,0.01522362055520001,0.02715226132592985,0.00332979603547109,59.017779098378966,4.447693787869404
306,cnaPANCAN38,0.6048420543236723,0.01510039445961802,-0.0269324848718897,0.00332712601393077,55.369826062710125,4.395710894387279
307,cnaPANCAN39,0.6048420543236723,0.01510039445961802,-0.0269324848718897,0.00332712601393077,55.369826062710125,4.395710894387279
308,cnaPANCAN40,0.9484581610828225,0.06420394390940369,0.11450077855215655,0.00333154356520771,65.08484145589513,4.530297484143641
309,cnaPANCAN41,0.5942683100115635,0.00683699019715469,-0.01219423426921917,0.00332685845431637,55.369826062710125,4.4098966879557215
310,cnaPANCAN42,0.7395316178723683,0.02139005361022757,-0.03815032651592265,0.0033297603943119,59.017779098378966,4.384883632861706
311,cnaPANCAN43,0.4690855696244546,0.08142406841938397,-0.14520813752510087,0.00332283368443863,52.96319589929068,4.281819688377222
312,cnaPANCAN44,0.8777973380660614,0.04731137590776619,0.08437432319778093,0.00333121718468554,63.10044762455716,4.4972416047781545
313,cnaPANCAN45,0.6939771026645561,0.10762553871527064,0.191912289118398,0.00332901833416437,57.88834501044378,4.6053692375028366
314,cnaPANCAN46,0.9572886431417432,0.03632409952055858,0.06478480245918572,0.00333156554025989,65.26968021420979,4.48364302229754
