,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
21,Nutlin-3a (-),YKG-1,GBM,nervous_system,4.115063739424273,0.9516324439127598,-0.16852502717540108
22,Nutlin-3a (-),ChaGo-K-1,UNCLASSIFIED,lung,4.7039960768862885,0.9769707450403268,0.16103880982464636
23,Nutlin-3a (-),NCI-H720,UNCLASSIFIED,lung,4.9315307771162,0.9825034832748936,0.28836618529460306
24,Nutlin-3a (-),Calu-3,LUAD,lung,6.0693993380351134,0.9689755020251961,0.9251122171973692
25,Nutlin-3a (-),COR-L23,UNCLASSIFIED,lung,4.921708436487871,0.9637910599483654,0.28286964849422297
26,Nutlin-3a (-),LK-2,LUSC,lung,5.113386194628284,0.9733123791543536,0.39013164350124
27,Nutlin-3a (-),NCI-H1437,LUAD,lung,4.090921011240093,0.9573716253337715,-0.18203518722250617
28,Nutlin-3a (-),NCI-H1623,LUAD,lung,5.861089437412474,0.9826859320105679,0.80854295148147
29,Nutlin-3a (-),NCI-H1648,LUAD,lung,4.868790780590458,0.9685030068697,0.25325717077266413
30,Nutlin-3a (-),NCI-H1650,LUAD,lung,6.603884900911379,0.9751607120582249,1.2242078886657293
31,Nutlin-3a (-),NCI-H1693,LUAD,lung,7.343730914601224,0.9730665090855569,1.6382223272540009
32,Nutlin-3a (-),NCI-H1770,UNCLASSIFIED,lung,4.999776082715279,0.9907045773574309,0.32655594554345974
33,Nutlin-3a (-),NCI-H1838,LUAD,lung,6.579614887367605,0.9741576239877933,1.2106265003147367
34,Nutlin-3a (-),NCI-H2085,LUAD,lung,5.489857521628257,0.9744218941285853,0.6008032727435603
35,Nutlin-3a (-),NCI-H2170,LUSC,lung,5.437736090345878,0.9830577799569072,0.5716363586675217
36,Nutlin-3a (-),NCI-H2228,LUAD,lung,6.045280801971095,0.9684273305094163,0.9116155949498354
37,Nutlin-3a (-),NCI-H2342,LUAD,lung,6.764695221893972,0.9898581434133504,1.3141966073029543
38,Nutlin-3a (-),NCI-H2347,LUAD,lung,7.317239995574592,0.972156936711717,1.6233981303730862
39,Nutlin-3a (-),NCI-H2405,LUAD,lung,8.030706031260513,0.9736913739538446,2.0226504541683146
40,Nutlin-3a (-),NCI-H661,UNCLASSIFIED,lung,5.07976376030069,0.9753355595663207,0.37131668334123935
41,Nutlin-3a (-),COR-L311,SCLC,lung,5.337560731787415,0.9913200271135062,0.5155786871162258
42,Nutlin-3a (-),DMS-114,SCLC,lung,4.6033191696208045,0.969197118432616,0.10470047391547094
43,Nutlin-3a (-),DMS-273,SCLC,lung,5.174825702182191,0.9820169263486487,0.4245129103546077
44,Nutlin-3a (-),NCI-H1048,SCLC,lung,4.776342747811428,0.9799977848276809,0.20152367531364096
45,Nutlin-3a (-),NCI-H1092,SCLC,lung,6.186854012491374,0.986421652840549,0.9908393147349421
46,Nutlin-3a (-),NCI-H1694,SCLC,lung,4.658471986907323,0.98397548875367,0.13556373770675456
47,Nutlin-3a (-),NCI-H1963,SCLC,lung,4.577799910924743,0.9815029158640899,0.09042001370247837
48,Nutlin-3a (-),NCI-H2029,SCLC,lung,5.754836904822112,0.9922094735090389,0.7490845211932693
49,Nutlin-3a (-),NCI-H209,SCLC,lung,4.876165472551391,0.9866935739285064,0.257384014596205
50,Nutlin-3a (-),NCI-H2141,SCLC,lung,5.8252614868966415,0.9827436274707712,0.7884937945702869
51,Nutlin-3a (-),NCI-H2171,SCLC,lung,3.7314485848406087,0.9852407864613715,-0.3831943095937956
52,Nutlin-3a (-),NCI-H2227,SCLC,lung,6.291377071464398,0.9791695150930829,1.0493299395129605
53,Nutlin-3a (-),NCI-H345,SCLC,lung,6.357712672838316,0.9787239705109677,1.0864510380294845
54,Nutlin-3a (-),NCI-H446,SCLC,lung,5.396230093461496,0.987705378971332,0.5484097930306654
55,Nutlin-3a (-),NCI-H526,SCLC,lung,4.794371151426352,0.9896113976289194,0.2116122873533951
56,Nutlin-3a (-),NCI-H64,SCLC,lung,6.027244994012062,0.9846575470339379,0.9015228394730513
57,Nutlin-3a (-),NCI-H69,SCLC,lung,6.259750195908293,0.9905639664262947,1.0316316848959517
58,Nutlin-3a (-),NCI-H82,SCLC,lung,4.70274547132334,0.9871967340119939,0.16033897668307495
59,Nutlin-3a (-),NCI-H2052,MESO,lung,2.6304794747573403,0.8709491632731056,-0.999291577917038
60,Nutlin-3a (-),SK-N-DZ,NB,nervous_system,4.03211218930398,0.9699140162984714,-0.21494433446043987
61,Nutlin-3a (-),SK-N-FI,NB,nervous_system,6.3217276293112175,0.9899739968431694,1.066313972589146
62,Nutlin-3a (-),VA-ES-BJ,UNCLASSIFIED,soft_tissue,4.162283900128948,0.936686039188581,-0.14210084165239917
63,Nutlin-3a (-),VMRC-LCD,LUAD,lung,6.517569632355984,0.9873466083695237,1.1759062599601393
64,Nutlin-3a (-),LU-139,SCLC,lung,5.385688845478598,0.9840532184818,0.5425109589693807
65,Nutlin-3a (-),SBC-5,SCLC,lung,4.479523515643987,0.9821998027724455,0.03542499329854625
66,Nutlin-3a (-),SBC-1,SCLC,lung,4.7430873044585775,0.9705816030585498,0.18291408162120745
